id,sector,firm_size,electricity_outage,has_website,internet_disruptions,female_ownership,credit_applied,credit_approved,credit_received_full,import_raw_materials_pct,export_indirect_pct,export_direct_pct,region,export_total_pct
1,Food,Medium,No,Yes,The establishment does not have an internet connection,No,Minor obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
6,Food,Medium,No,Yes,No,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
7,Food,Medium,No,No,The establishment does not have an internet connection,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Islamabad,0.0
8,Food,Medium,Yes,Yes,No,No,Moderate obstacle,Minor obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
9,Food,Medium,No,Yes,No,No,Major obstacle,No obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
10,Food,Medium,Yes,Yes,The establishment does not have an internet connection,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
11,Food,Medium,No,No,No,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
12,Food,Medium,No,Yes,The establishment does not have an internet connection,No,Moderate obstacle,No obstacle,Minor obstacle,0,0.0,0.0,Islamabad,0.0
13,Food,Medium,Yes,Yes,No,No,Very severe obstacle,No obstacle,No obstacle,0,0.0,0.0,Sindh,0.0
15,Food,Medium,Yes,Yes,No,No,No obstacle,Does not apply,No obstacle,0,0.0,0.0,Sindh,0.0
16,Food,Medium,No,Yes,No,No,Moderate obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
18,Food,Medium,Yes,No,Yes,No,Major obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
19,Food,Medium,No,Yes,The establishment does not have an internet connection,No,Very severe obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
21,Food,Medium,Yes,Yes,No,No,Minor obstacle,No obstacle,No obstacle,20,0.0,0.0,Sindh,0.0
23,Food,Medium,Yes,Yes,Yes,No,Major obstacle,Major obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
24,Food,Medium,No,Yes,No,Yes,Minor obstacle,No obstacle,No obstacle,20,0.0,0.0,Sindh,0.0
25,Food,Medium,No,No,Yes,No,Very severe obstacle,No obstacle,Minor obstacle,20,0.0,0.0,Sindh,0.0
26,Food,Large,Yes,Yes,Yes,No,Minor obstacle,No obstacle,Very severe obstacle,30,0.0,0.0,Sindh,0.0
27,Food,Large,No,Yes,Yes,No,Very severe obstacle,Moderate obstacle,Moderate obstacle,0,0.0,30.0,Khyber-Pakhtunkhwa,30.0
33,Food,Medium,No,Yes,Yes,No,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,,Sindh,0.0
34,Food,Large,Yes,Yes,No,Yes,Very severe obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Khyber-Pakhtunkhwa,0.0
38,Food,Large,No,Yes,No,No,Minor obstacle,Minor obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
42,Food,Large,Yes,Yes,No,No,Major obstacle,Major obstacle,Moderate obstacle,20,0.0,0.0,Punjab,0.0
43,Food,Medium,No,Yes,The establishment does not have an internet connection,No,No obstacle,No obstacle,No obstacle,0,0.0,0.0,Islamabad,0.0
45,Food,Medium,No,Yes,No,No,Minor obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Islamabad,0.0
49,Food,Large,No,Yes,No,No,Moderate obstacle,Moderate obstacle,Moderate obstacle,0,0.0,0.0,Punjab,0.0
50,Food,Large,Yes,No,No,No,Moderate obstacle,Moderate obstacle,Minor obstacle,0,0.0,0.0,Punjab,0.0
52,Food,Small,No,No,No,No,Very severe obstacle,No obstacle,Moderate obstacle,100,0.0,0.0,Sindh,0.0
