Table,State,Distr,Area,Total_Rural_Urban,Edu_level,Total_dis_popln,Male_dis_popln,Female_dis_popln,Seeing_dis_popln,Male_Seeing_popln,Female_Seeing_popln,Hearing_dis_popln,Male_Hearing_popln,Female_Hearing_popln,Speech_dis_popln,Male_Speech_popln,Female_Speech_popln,Movement_dis_popln,Male_Movement_popln,Female_Movement_popln,Mental_ret_dis_popln,Male_Mental_ret_popln,Female_Mental_ret_popln,Mental_ill_dis_popln,Male_Mental_ill_popln,Female_Mental_ill_popln,Other_dis_popln,Male_Other_popln,Female_Other_popln,Mult_dis_popln,Male_Mult_popln,Female_Mult_popln
C5129,00,000,INDIA,Total,Total ,26814994,14988593,11826401,5033431,2639028,2394403,5072914,2678584,2394330,1998692,1122987,875705,5436826,3370501,2066325,1505964,870898,635066,722880,415758,307122,4927589,2728125,2199464,2116698,1162712,953986
C5129,00,000,INDIA,Total,Illiterate,12196641,5640240,6556401,2377822,993148,1384674,2184337,926465,1257872,833711,417060,416651,2164312,1044929,1119383,883780,476799,406981,370329,182398,187931,1969897,907552,1062345,1412453,691889,720564
C5129,00,000,INDIA,Total,Literate,14618353,9348353,5270000,2655609,1645880,1009729,2888577,1752119,1136458,1164981,705927,459054,3272514,2325572,946942,622184,394099,228085,352551,233360,119191,2957692,1820573,1137119,704245,470823,233422
C5129,00,000,INDIA,Total,Literate but below primary,2840345,1706441,1133904,552338,321152,231186,546826,312072,234754,242386,141361,101025,532955,361150,171805,174673,104302,70371,67067,39980,27087,530875,303436,227439,193225,122988,70237
C5129,00,000,INDIA,Total,Primary but below middle,3554858,2195933,1358925,653491,391041,262450,685108,397126,287982,275282,159833,115449,805593,557825,247768,167486,103657,63829,90381,57168,33213,689233,406212,283021,188284,123071,65213
C5129,00,000,INDIA,Total,Middle but below matric/secondary,2448070,1616539,831531,431593,274783,156810,467419,289918,177501,176186,108606,67580,614400,448926,165474,91399,61061,30338,66500,46325,20175,498409,315622,182787,102164,71298,30866
C5129,00,000,INDIA,Total,Matric/Secondary but below graduate,3448650,2330080,1118570,613959,404307,209652,707165,456685,250480,274972,175502,99470,836393,614827,221566,97195,65957,31238,76727,55284,21443,726653,473714,252939,115586,83804,31782
C5129,00,000,INDIA,Total,Graduate and above,1246857,839702,407155,235435,155987,79448,268909,172095,96814,108020,69170,38850,280959,206950,74009,28648,19216,9432,19866,14543,5323,276396,180510,95886,28624,21231,7393
C5129,00,000,INDIA,Rural,Total ,18636358,10410559,8225799,3503558,1821448,1682110,3393728,1784426,1609302,1303940,734998,568942,4035741,2503529,1532212,1025900,591598,434302,495880,283458,212422,3293107,1827881,1465226,1584504,863221,721283
C5129,00,000,INDIA,Rural,Illiterate,9526033,4378828,5147205,1908005,793890,1114115,1700647,719182,981465,635044,317070,317974,1769420,853784,915636,626944,334638,292306,271128,130936,140192,1494690,685391,809299,1120155,543937,576218
C5129,00,000,INDIA,Rural,Literate,9110325,6031731,3078594,1595553,1027558,567995,1693081,1065244,627837,668896,417928,250968,2266321,1649745,616576,398956,256960,141996,224752,152522,72230,1798417,1142490,655927,464349,319284,145065
C5129,00,000,INDIA,Rural,Literate but below primary,2090713,1285250,805463,401944,240211,161733,394098,230766,163332,174686,104262,70424,411763,284485,127278,130761,78441,52320,48045,29197,18848,384905,223676,161229,144511,94212,50299
C5129,00,000,INDIA,Rural,Primary but below middle,2463007,1573149,889858,443039,275884,167155,460285,277393,182892,181837,109111,72726,596902,422705,174197,116707,73269,43438,61300,39345,21955,470516,285833,184683,132421,89609,42812
C5129,00,000,INDIA,Rural,Middle but below matric/secondary,1616040,1106176,509864,274091,182428,91663,294961,190658,104303,107469,68558,38911,445253,332028,113225,58168,39909,18259,43185,30842,12343,326449,213815,112634,66464,47938,18526
C5129,00,000,INDIA,Rural,Matric/Secondary but below graduate,1838533,1316598,521935,300956,212547,88409,341101,234424,106677,126510,85502,41008,532853,403984,128869,50216,36201,14015,44697,33901,10796,381350,263233,118117,60850,46806,14044
C5129,00,000,INDIA,Rural,Graduate and above,416319,320130,96189,66135,50903,15232,72034,53651,18383,25867,19136,6731,136290,107851,28439,8897,6967,1930,8962,7367,1595,87745,65630,22115,10389,8625,1764
C5129,00,000,INDIA,Urban,Total ,8178636,4578034,3600602,1529873,817580,712293,1679186,894158,785028,694752,387989,306763,1401085,866972,534113,480064,279300,200764,227000,132300,94700,1634482,900244,734238,532194,299491,232703
