Table,State,Town,Area,Total_Rural_Urban,Educational level,Total_Persons,Male_Persons,Female_Persons,Total_Main_worker,Male_Main_worker,Female_Main_worker,Total_Marg_worker,Male_Marg_worker,Female_Marg_worker,Total_marg_worker_avlbl_for_work,Male_marg_worker_avlbl_for_work,Female_marg_worker_avlbl_for_work,Total_Non_worker,Male_Non_worker,Female_Non_worker,Total_Non_worker_avlbl_for_work,Male_Non_worker_avlbl_for_work,Female_Non_worker_avlbl_for_work
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Total,1206419,631830,574589,317254,277267,39987,73814,41915,31899,41767,24441,17326,815351,312648,502703,163909,63151,100758
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Illiterate,478675,215099,263576,88424,78747,9677,29394,15799,13595,14205,8472,5733,360857,120553,240304,32457,7421,25036
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Literate,727744,416731,311013,228830,198520,30310,44420,26116,18304,27562,15969,11593,454494,192095,262399,131452,55730,75722
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Literate but below matric/secondary,296727,164328,132399,57910,53688,4222,16684,10195,6489,8957,5687,3270,222133,100445,121688,31904,13694,18210
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Matric/secondary but below graduate,237379,142307,95072,85060,78437,6623,14621,8684,5937,9863,5678,4185,137698,55186,82512,53976,23527,30449
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Technical diploma or certificate not equal to degree,21744,12699,9045,7541,6494,1047,1565,920,645,1080,623,457,12638,5285,7353,5703,2698,3005
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Graduate and above other than technical degree,108020,60547,47473,49760,38115,11645,6714,3466,3248,4699,2262,2437,51546,18966,32580,28216,11041,17175
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,27763,15278,12485,14251,9350,4901,1623,804,819,1166,560,606,11889,5124,6765,6629,2762,3867
B0103,01,800033,Anantnag (M Cl+OG),Urban,Total,150592,77712,72880,29562,26007,3555,14428,6465,7963,6988,3907,3081,106602,45240,61362,18714,7564,11150
B0103,01,800033,Anantnag (M Cl+OG),Urban,Illiterate,58108,25767,32341,6217,5651,566,6165,2176,3989,2321,1170,1151,45726,17940,27786,3221,838,2383
B0103,01,800033,Anantnag (M Cl+OG),Urban,Literate,92484,51945,40539,23345,20356,2989,8263,4289,3974,4667,2737,1930,60876,27300,33576,15493,6726,8767
B0103,01,800033,Anantnag (M Cl+OG),Urban,Literate but below matric/secondary,48080,26209,21871,7577,7065,512,4089,2094,1995,2069,1237,832,36414,17050,19364,5131,2162,2969
B0103,01,800033,Anantnag (M Cl+OG),Urban,Matric/secondary but below graduate,28910,16765,12145,8949,8129,820,2806,1499,1307,1698,1018,680,17155,7137,10018,6664,2986,3678
B0103,01,800033,Anantnag (M Cl+OG),Urban,Technical diploma or certificate not equal to degree,534,334,200,237,203,34,33,17,16,15,11,4,264,114,150,57,24,33
B0103,01,800033,Anantnag (M Cl+OG),Urban,Graduate and above other than technical degree,9927,5837,4090,4466,3470,996,807,410,397,575,298,277,4654,1957,2697,2600,1119,1481
B0103,01,800033,Anantnag (M Cl+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,2739,1454,1285,1473,916,557,155,63,92,130,52,78,1111,475,636,703,287,416
B0103,01,800071,Jammu (M Corp.+OG),Urban,Total,576198,303689,272509,176167,144067,32100,23264,14008,9256,11140,6820,4320,376767,145614,231153,55165,22151,33014
B0103,01,800071,Jammu (M Corp.+OG),Urban,Illiterate,111468,49977,61491,13781,10273,3508,4953,2966,1987,2211,1453,758,92734,36738,55996,3235,927,2308
B0103,01,800071,Jammu (M Corp.+OG),Urban,Literate,464730,253712,211018,162386,133794,28592,18311,11042,7269,8929,5367,3562,284033,108876,175157,51930,21224,30706
B0103,01,800071,Jammu (M Corp.+OG),Urban,Literate but below matric/secondary,156285,83818,72467,31982,28851,3131,6510,4483,2027,2790,2051,739,117793,50484,67309,9993,4373,5620
B0103,01,800071,Jammu (M Corp.+OG),Urban,Matric/secondary but below graduate,169325,94022,75303,60871,54481,6390,6351,3854,2497,3333,1994,1339,102103,35687,66416,22362,9675,12687
B0103,01,800071,Jammu (M Corp.+OG),Urban,Technical diploma or certificate not equal to degree,5939,4472,1467,3085,2681,404,233,163,70,132,90,42,2621,1628,993,935,546,389
B0103,01,800071,Jammu (M Corp.+OG),Urban,Graduate and above other than technical degree,88616,46540,42076,44824,32546,12278,3171,1489,1682,1576,691,885,40621,12505,28116,11951,3759,8192
B0103,01,800071,Jammu (M Corp.+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,32948,19047,13901,17266,11723,5543,1257,659,598,743,369,374,14425,6665,7760,5690,2532,3158
B0103,02,800137,Shimla (M Corp.),Urban,Total,169578,93152,76426,62899,49631,13268,8100,3861,4239,3238,1809,1429,98579,39660,58919,15665,6545,9120
B0103,02,800137,Shimla (M Corp.),Urban,Illiterate,23516,11657,11859,4484,3133,1351,795,365,430,261,149,112,18237,8159,10078,512,115,397
B0103,02,800137,Shimla (M Corp.),Urban,Literate,146062,81495,64567,58415,46498,11917,7305,3496,3809,2977,1660,1317,80342,31501,48841,15153,6430,8723
B0103,02,800137,Shimla (M Corp.),Urban,Literate but below matric/secondary,45697,25664,20033,12175,10389,1786,2120,1065,1055,568,368,200,31402,14210,17192,2025,843,1182
B0103,02,800137,Shimla (M Corp.),Urban,Matric/secondary but below graduate,52751,29597,23154,20461,17464,2997,2969,1390,1579,1287,730,557,29321,10743,18578,6727,3037,3690
B0103,02,800137,Shimla (M Corp.),Urban,Technical diploma or certificate not equal to degree,2076,1381,695,1167,823,344,89,63,26,49,35,14,820,495,325,290,178,112
B0103,02,800137,Shimla (M Corp.),Urban,Graduate and above other than technical degree,37539,20460,17079,20516,14932,5584,1704,780,924,854,410,444,15319,4748,10571,5045,1890,3155
B0103,02,800137,Shimla (M Corp.),Urban,Technical degree or diploma equal to degree or post-graduate degree,5814,3362,2452,3185,2232,953,247,131,116,145,77,68,2382,999,1383,886,416,470
B0103,03,800144,Pathankot (M Cl+OG),Urban,Total,156306,82045,74261,44097,37577,6520,7020,4999,2021,3318,2501,817,105189,39469,65720,13750,5703,8047
B0103,03,800144,Pathankot (M Cl+OG),Urban,Illiterate,32066,14938,17128,4266,3479,787,1222,803,419,456,336,120,26578,10656,15922,1245,344,901
B0103,03,800144,Pathankot (M Cl+OG),Urban,Literate,124240,67107,57133,39831,34098,5733,5798,4196,1602,2862,2165,697,78611,28813,49798,12505,5359,7146
B0103,03,800144,Pathankot (M Cl+OG),Urban,Literate but below matric/secondary,46499,25491,21008,10001,9035,966,2324,1849,475,1070,926,144,34174,14607,19567,2731,1325,1406
B0103,03,800144,Pathankot (M Cl+OG),Urban,Matric/secondary but below graduate,47537,26264,21273,16486,15018,1468,2260,1672,588,1142,868,274,28791,9574,19217,5762,2610,3152
B0103,03,800144,Pathankot (M Cl+OG),Urban,Technical diploma or certificate not equal to degree,2310,1486,824,973,767,206,88,60,28,64,46,18,1249,659,590,350,229,121
B0103,03,800144,Pathankot (M Cl+OG),Urban,Graduate and above other than technical degree,18255,9171,9084,8535,6650,1885,682,358,324,332,180,152,9038,2163,6875,2283,665,1618
B0103,03,800144,Pathankot (M Cl+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,5783,2803,2980,2623,1627,996,207,102,105,138,70,68,2953,1074,1879,1035,397,638
B0103,03,800149,Batala (M Cl+OG),Urban,Total,158621,83655,74966,45647,38977,6670,7378,4841,2537,3378,2242,1136,105596,39837,65759,12547,5611,6936
B0103,03,800149,Batala (M Cl+OG),Urban,Illiterate,37686,17808,19878,6493,5324,1169,1463,909,554,586,372,214,29730,11575,18155,1524,499,1025
B0103,03,800149,Batala (M Cl+OG),Urban,Literate,120935,65847,55088,39154,33653,5501,5915,3932,1983,2792,1870,922,75866,28262,47604,11023,5112,5911
B0103,03,800149,Batala (M Cl+OG),Urban,Literate but below matric/secondary,51459,28510,22949,11688,10602,1086,2378,1628,750,1101,778,323,37393,16280,21113,3231,1636,1595
B0103,03,800149,Batala (M Cl+OG),Urban,Matric/secondary but below graduate,47346,26135,21211,17402,15639,1763,2494,1740,754,1194,831,363,27450,8756,18694,5322,2535,2787
B0103,03,800149,Batala (M Cl+OG),Urban,Technical diploma or certificate not equal to degree,2258,1261,997,896,624,272,147,83,64,71,45,26,1215,554,661,340,187,153
B0103,03,800149,Batala (M Cl+OG),Urban,Graduate and above other than technical degree,12938,6467,6471,6236,4757,1479,513,275,238,236,117,119,6189,1435,4754,1332,397,935
B0103,03,800149,Batala (M Cl+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,3498,1653,1845,1680,964,716,188,88,100,96,41,55,1630,601,1029,483,212,271
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Total,868929,460811,408118,289247,240320,48927,30678,18865,11813,10578,6903,3675,549004,201626,347378,39812,16984,22828
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Illiterate,197552,94418,103134,39735,30738,8997,5097,2757,2340,1713,1027,686,152720,60923,91797,4044,1257,2787
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Literate,671377,366393,304984,249512,209582,39930,25581,16108,9473,8865,5876,2989,396284,140703,255581,35768,15727,20041
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Literate but below matric/secondary,269006,150923,118083,74521,65749,8772,9875,6491,3384,3346,2399,947,184610,78683,105927,9960,4847,5113
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Matric/secondary but below graduate,241111,134011,107100,96961,86016,10945,9305,6082,3223,3456,2334,1122,134845,41913,92932,16080,7376,8704
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Technical diploma or certificate not equal to degree,8903,5325,3578,4012,3029,983,353,230,123,139,97,42,4538,2066,2472,761,404,357
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Graduate and above other than technical degree,106518,52697,53821,53103,40147,12956,3813,2053,1760,1241,647,594,49602,10497,39105,5982,1784,4198
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,22406,10960,11446,11213,6654,4559,914,441,473,329,160,169,10279,3865,6414,1953,870,1083
B0103,03,800176,Hoshiarpur (M Cl),Urban,Total,168653,88304,80349,52477,42768,9709,8405,5403,3002,3540,2195,1345,107771,40133,67638,9587,3931,5656
B0103,03,800176,Hoshiarpur (M Cl),Urban,Illiterate,35286,16753,18533,5987,4460,1527,1478,875,603,531,315,216,27821,11418,16403,780,232,548
B0103,03,800176,Hoshiarpur (M Cl),Urban,Literate,133367,71551,61816,46490,38308,8182,6927,4528,2399,3009,1880,1129,79950,28715,51235,8807,3699,5108
B0103,03,800176,Hoshiarpur (M Cl),Urban,Literate but below matric/secondary,51296,27989,23307,12466,10963,1503,2784,2005,779,1083,783,300,36046,15021,21025,2198,981,1217
B0103,03,800176,Hoshiarpur (M Cl),Urban,Matric/secondary but below graduate,48170,26147,22023,17995,15779,2216,2548,1688,860,1178,739,439,27627,8680,18947,3811,1684,2127
B0103,03,800176,Hoshiarpur (M Cl),Urban,Technical diploma or certificate not equal to degree,3909,2607,1302,1687,1340,347,196,129,67,113,74,39,2026,1138,888,370,254,116
B0103,03,800176,Hoshiarpur (M Cl),Urban,Graduate and above other than technical degree,20770,10120,10650,10076,7368,2708,886,427,459,406,162,244,9808,2325,7483,1669,452,1217
B0103,03,800176,Hoshiarpur (M Cl),Urban,Technical degree or diploma equal to degree or post-graduate degree,5859,2949,2910,3025,1831,1194,253,119,134,133,63,70,2581,999,1582,602,269,333
B0103,03,800191,Khanna (M Cl),Urban,Total,128137,67801,60336,41734,35153,6581,3397,2142,1255,1290,844,446,83006,30506,52500,6754,2942,3812
B0103,03,800191,Khanna (M Cl),Urban,Illiterate,32752,15638,17114,6824,5247,1577,680,409,271,265,174,91,25248,9982,15266,789,257,532
B0103,03,800191,Khanna (M Cl),Urban,Literate,95385,52163,43222,34910,29906,5004,2717,1733,984,1025,670,355,57758,20524,37234,5965,2685,3280
B0103,03,800191,Khanna (M Cl),Urban,Literate but below matric/secondary,40478,22409,18069,10810,9733,1077,1061,746,315,423,311,112,28607,11930,16677,1789,903,886
B0103,03,800191,Khanna (M Cl),Urban,Matric/secondary but below graduate,34281,19400,14881,13951,12675,1276,1009,649,360,361,243,118,19321,6076,13245,2526,1237,1289
B0103,03,800191,Khanna (M Cl),Urban,Technical diploma or certificate not equal to degree,1435,810,625,604,435,169,48,25,23,24,13,11,783,350,433,134,83,51
