region_name,province_huc,pop_2015,pop_2020,land_area_sq_km_2013,family_num-2021,avg_fam_inc_2021,avg_fam_exp_2021,fam_income_pc_median-2021,gini_coeff_2021,HH_pop_2020,HH_num_2020,ATM_onsite_num_2021,ATM_offsite_num-2021,ATM_total_num_2021,deposit_demand_2021_mmpeso,deposit_savings_2021_mmpeso,deposit_time_2021_mmpeso,deposit_other_2021_mmpeso
NCR,NCR1,1780148,1846513,24.98,494000,413680,362270,18312.17,0.3085,1837785,486293,698,494,1192,525508.0584,739246.3417,360720.2326,748.0300917
NCR,NCR2,4650613,4771371,256.93,1215000,473616,379588,5413.22,,9777617,2460586,1932,1383,3315,1004568.043,1780446.059,690071.7341,15004.58048
NCR,NCR3,2819388,3004627,127.47,710000,345792.5,253747.5,4038.88,,2998412,754685,334,245,579,131763.0465,202098.3321,69283.35476,121.1403585
NCR,NCR4,3627104,3861951,210.16,1095000,428648.5714,319842.8571,5623.53,,3818429,1054167,1762,1472,3234,1196670.585,2089114.346,1660586.446,176616.9984
CAR,Abra,241160,250985,4199.72,58000,264590,183160,1119.67,0.4037,250309,58956,34,30,64,7618.526875,6849.30909,338.026539,3.19127342
CAR,Apayao,119184,124366,4502.33,28000,307150,185750,639.17,0.3813,123937,28862,2,9,11,3366.228448,1108.002112,4.6112873,0
CAR,Benguet ***,446224,460683,2769.08,128000,324490,241310,3041.63,0.4004,459468,116692,28,11,39,6236.46166,15490.05335,1172.862495,4.95
CAR,City of Baguio **,345366,366358,57.51,103000,454470,310520,3599.15,0.3788,363151,100220,103,110,213,19522.92675,62777.2276,12201.85003,26.48259349
CAR,Ifugao,202802,207498,2618.01,47000,329240,211210,1124.4,0.4086,207130,48756,7,7,14,3378.060907,2322.597975,88.67725863,0
CAR,Kalinga,212680,229570,3282.04,46000,409660,286910,1187.68,0.4386,229328,48079,9,7,16,3986.567704,3676.535634,94.7173285,0
CAR,Mountain Province,154590,158200,2389.43,38000,274430,185110,770,0.418,157798,37601,7,4,11,2263.490948,3898.216291,269.5031145,0
REGION I,Ilocos Norte,593081,609588,3418.75,152000,364800,234970,4341.26,0.3537,157798,37601,57,58,115,16479.37398,28483.35709,4012.564092,8.41614913
REGION I,Ilocos Sur,689668,706009,2596,170000,317510,205860,3908.27,0.4196,704218,172048,73,40,113,26400.15708,35324.35671,4287.230545,6.41762796
REGION I,La Union,786653,822352,1499.28,201000,326650,226720,4559,0.4213,820343,205034,77,77,154,17330.58506,31021.11168,5493.484653,12.50795781
