"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Armenia","ARM",114602465,0.694801445823746,1,23,3,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,1,1,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,3,2,2,4,2,2,,1,1,4,4,4,2,4,5,1,1,0,0
"Armenia","ARM",154718055,0.700998717017129,1,30,3,5,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,,1,1,1,,,,,,,,,,1,1,2,1,2,1,,2,2,2,,,,2,2,2,2,2,2,2,,1,1,1,2,,,,1,2,2,2,1,1,1,1,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,3,3,2,2,6,2,,0,1,1,4,4,4,1,4,1,1,1,1
"Armenia","ARM",188539560,1.01814073139918,1,33,2,4,1,2,1,1,1,1,2,2,,,1,1,2,,,,1,1,2,,2,,,,,,,,,,2,2,2,2,1,2,,2,1,2,,,,2,1,2,2,2,2,2,,1,3,3,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,2,1,2,1,3,,,2,,,,,,3,3,3,3,,1,,1,0,1,1,4,4,2,5,1,1,1,1
"Armenia","ARM",125333834,0.435415010616663,1,56,2,1,2,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,1,2,2,1,1,1,2,1,,,1,2,2,2,2,2,,2,2,,,,,1,1,2,2,2,1,3,1,2,3,2,1,,1,1,3,4,4,1,1,2,1,1,1,0
"Armenia","ARM",186182219,0.539177499222748,1,65,3,5,1,2,1,1,0,,,1,2,,2,2,1,2,,1,1,1,1,2,2,,,,,,,,,,,,,,2,,,1,1,2,,,,2,2,,2,2,1,2,,2,3,3,2,,,,2,,,,1,2,1,1,,,1,2,3,2,1,,,2,1,1,2,,,2,,,,,,2,2,3,4,1,3,,1,1,2,4,1,4,1,5,1,1,1,0
"Armenia","ARM",120492338,0.64475725546325,1,40,2,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,1,,2,,,,,,5,1,1,2,2,1,,1,1,4,2,4,4,2,5,1,1,0,0
"Armenia","ARM",117851875,1.00611099510213,1,45,2,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,1,,,,,2,,,1,1,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,5,2,3,4,,3,,0,0,4,4,4,4,2,5,1,1,0,0
"Armenia","ARM",186766479,1.04301155222041,1,30,2,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,,,,,2,,,1,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,1,1,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,3,1,,0,1,4,4,4,4,1,5,1,1,0,0
"Armenia","ARM",175689647,0.513667066510092,1,37,2,5,1,2,1,1,1,,,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,1,2,1,2,2,1,,1,1,1,2,1,,2,2,2,2,1,2,1,,2,2,1,1,1,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,1,2,1,2,,,2,,,,,,1,1,3,3,2,3,,0,1,2,1,4,4,2,1,1,1,1,1
"Armenia","ARM",208857666,0.242363197758024,1,66,2,4,2,2,1,1,0,2,1,2,,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,2,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,1,1,2,,,2,,,,,,2,2,3,4,2,2,,0,1,4,4,1,4,1,5,1,1,1,0
"Armenia","ARM",167620634,0.647076002986325,2,81,2,4,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,3,3,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,4,1,2,,0,0,4,4,4,4,4,3,1,2,0,0
"Armenia","ARM",172327822,1.00985040358399,1,37,2,1,1,2,1,1,0,,,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,1,1,,3,2,4,1,2,1,2,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,4,2,1,1,3,,0,1,4,4,4,4,2,3,1,1,0,0
"Armenia","ARM",117456130,1.55790838282758,1,53,3,4,1,2,1,1,0,1,2,1,1,1,2,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,,2,2,2,,,,2,2,,2,2,2,1,,2,2,2,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,1,1,2,1,2,2,,0,1,1,4,4,4,2,5,1,1,1,1
"Armenia","ARM",172418449,0.642020856614531,1,32,3,4,1,2,1,1,1,1,2,3,,,1,1,2,,,,1,2,1,1,1,,,,,,,,,,1,1,3,1,2,,,2,1,1,1,2,,2,2,2,2,2,2,1,,3,2,1,2,,,,2,,,,2,,,,,,1,2,1,2,,,1,2,2,,,,,2,,,,,,2,2,2,3,2,2,,0,1,1,4,4,4,4,5,1,1,1,1
"Armenia","ARM",131495628,0.242363197758024,1,79,3,3,1,2,1,1,0,2,2,2,,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2,1,1,2,,2,2,2,2,,,,2,,,,1,2,2,,,2,2,,,,,,,2,1,2,2,2,1,2,,,,,,1,1,2,4,1,5,,0,1,4,4,1,4,3,5,1,2,1,0
"Armenia","ARM",199362860,2.98339399484209,1,16,1,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,1,,,,,2,,,2,2,1,2,1,,2,2,,2,2,2,2,,2,3,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,1,2,2,3,2,,1,0,4,4,4,2,2,5,1,1,0,0
"Armenia","ARM",159552661,0.789322145518518,1,44,2,4,1,2,1,1,0,1,2,2,,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,3,2,2,4,2,1,,0,0,1,4,4,4,2,5,1,1,1,0
"Armenia","ARM",187656486,2.98339399484209,2,29,1,3,1,1,1,1,0,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,1,2,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,2,1,1,2,,,,1,2,2,2,1,1,2,1,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,3,2,2,4,2,3,,0,1,4,4,4,2,1,4,1,2,1,0
"Armenia","ARM",146623567,0.307385489565316,1,58,2,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,3,2,2,1,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,2,5,1,2,0,0
"Armenia","ARM",160776142,1.67790280606586,2,61,2,5,1,2,1,1,0,,,2,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,1,2,2,,,,,2,,,,,,2,3,2,4,3,2,,0,0,1,4,4,4,2,5,1,1,1,0
"Armenia","ARM",146242505,0.993966731787553,1,64,2,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,2,2,2,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,2,3,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Armenia","ARM",153428455,1.04351906780486,1,22,2,5,1,2,1,1,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,1,1,1,1,2,,,2,2,2,,,,1,2,2,2,2,1,1,,2,3,2,2,,,,1,2,1,2,1,1,1,2,,,2,,,,,,,1,2,2,2,1,,2,,,,,,3,3,3,4,,3,,1,1,4,2,4,4,1,3,1,1,1,0
"Armenia","ARM",163294557,1.2895145109265,1,35,2,1,1,1,0,0,0,,,2,,,,,,,,,,,,,,3,2,2,2,2,2,1,2,2,,,,,2,,,2,1,2,,,,2,2,,2,2,1,1,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,1,2,2,1,,1,1,2,2,1,,3,1,2,2,2,1,,0,1,4,2,2,2,2,5,1,1,0,0
"Armenia","ARM",199968769,0.242363197758024,1,69,2,4,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,2,3,3,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,2,2,1,,1,1,2,2,1,,2,3,3,3,,2,,1,0,4,4,2,2,4,5,2,2,0,0
"Armenia","ARM",124819708,0.242363197758024,1,57,2,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,1,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,3,2,1,2,,,,2,,,,1,2,2,,,1,1,1,2,2,1,,,2,2,,,,,2,,,,,,2,1,2,3,2,2,,0,1,2,4,4,4,2,5,1,1,0,0
"Armenia","ARM",158436885,0.256201313062067,1,62,2,3,2,2,1,1,0,,,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,2,2,2,2,2,,,,,,1,1,2,4,2,1,,0,0,4,4,3,4,2,5,1,2,0,0
"Armenia","ARM",204752713,0.718903332296998,1,62,3,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,2,2,1,3,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,2,2,,0,0,4,4,4,4,4,5,1,1,0,0
"Armenia","ARM",145759832,0.673094138522938,1,51,2,4,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,3,2,2,1,,1,1,2,1,2,1,,0,1,4,4,4,2,2,5,1,2,0,0
"Armenia","ARM",161218919,1.26329269038074,2,77,2,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,2,2,1,,2,,,,,,1,1,1,4,3,1,,0,0,4,4,2,4,2,5,1,2,0,0
"Armenia","ARM",122368050,0.380021280725897,1,79,2,3,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,2,2,,5,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,2,1,4,2,1,,1,0,4,4,4,4,2,5,1,1,0,0
